!2;TIME;RFR_PC;RY_PC
*;712;10.72177545;4.134057382
*;713;10.71751265;4.131613671
*;714;10.71325003;4.129170017
*;715;10.70898756;4.126726421
*;716;10.70472526;4.124282882
*;717;10.70046313;4.121839401
*;718;10.69620116;4.119395976
*;719;10.69193935;4.11695261
*;720;10.68767771;4.1145093
*;721;10.68341623;4.112066048
*;722;10.67915491;4.109622853
*;723;10.67489376;4.107179716
*;724;10.67063277;4.104736636
*;725;10.66637195;4.102293613
*;726;10.66211129;4.099850647
*;727;10.6578508;4.097407739
*;728;10.65359047;4.094964888
*;729;10.6493303;4.092522095
*;730;10.6450703;4.090079359
*;731;10.64081046;4.08763668
*;732;10.63655078;4.085194059
*;733;10.63229127;4.082751494
*;734;10.62803192;4.080308987
*;735;10.62377274;4.077866538
*;736;10.61951372;4.075424146
*;737;10.61525487;4.072981811
*;738;10.61099618;4.070539533
*;739;10.60673765;4.068097313
*;740;10.60247929;4.06565515
*;741;10.59822109;4.063213044
*;742;10.59396305;4.060770996
*;743;10.58970518;4.058329005
*;744;10.58544747;4.055887071
*;745;10.58118993;4.053445195
*;746;10.57693255;4.051003375
*;747;10.57267534;4.048561614
*;748;10.56841828;4.046119909
*;749;10.5641614;4.043678262
*;750;10.55990467;4.041236672
*;751;10.55564811;4.038795139
*;752;10.55139172;4.036353664
*;753;10.54713548;4.033912246
*;754;10.54287942;4.031470885
*;755;10.53862351;4.029029582
*;756;10.53436777;4.026588335
*;757;10.53011219;4.024147147
*;758;10.52585678;4.021706015
*;759;10.52160153;4.019264941
*;760;10.51734645;4.016823924
*;761;10.51309153;4.014382964
*;762;10.50883677;4.011942061
*;763;10.50458217;4.009501216
*;764;10.50032774;4.007060428
*;765;10.49607348;4.004619698
*;766;10.49181938;4.002179024
*;767;10.48756544;3.999738408
*;768;10.48331166;3.997297849
*;769;10.47905805;3.994857348
*;770;10.4748046;3.992416904
*;771;10.47055132;3.989976517
*;772;10.4662982;3.987536187
*;773;10.46204524;3.985095914
*;774;10.45779245;3.982655699
*;775;10.45353982;3.980215541
*;776;10.44928736;3.977775441
*;777;10.44503506;3.975335397
*;778;10.44078292;3.972895411
*;779;10.43653095;3.970455482
*;780;10.43227914;3.968015611
*;781;10.42802749;3.965575796
*;782;10.42377601;3.963136039
*;783;10.41952469;3.960696339
*;784;10.41527353;3.958256697
*;785;10.41102254;3.955817111
*;786;10.40677171;3.953377583
*;787;10.40252105;3.950938112
*;788;10.39827055;3.948498699
*;789;10.39402021;3.946059342
*;790;10.38977004;3.943620043
*;791;10.38552003;3.941180801
*;792;10.38127018;3.938741617
*;793;10.3770205;3.936302489
*;794;10.37277098;3.933863419
*;795;10.36852162;3.931424406
*;796;10.36427243;3.928985451
*;797;10.3600234;3.926546552
*;798;10.35577454;3.924107711
*;799;10.35152584;3.921668927
*;800;10.3472773;3.9192302
*;801;10.34302893;3.916791531
*;802;10.33878072;3.914352918
*;803;10.33453267;3.911914363
*;804;10.33028479;3.909475865
*;805;10.32603707;3.907037425
*;806;10.32178951;3.904599041
*;807;10.31754212;3.902160715
*;808;10.31329489;3.899722446
*;809;10.30904783;3.897284235
*;810;10.30480092;3.89484608
*;811;10.30055418;3.892407983
*;812;10.29630761;3.889969943
*;813;10.2920612;3.88753196
*;814;10.28781495;3.885094034
*;815;10.28356887;3.882656166
*;816;10.27932295;3.880218354
*;817;10.27507719;3.8777806
*;818;10.27083159;3.875342904
*;819;10.26658616;3.872905264
*;820;10.2623409;3.870467682
*;821;10.25809579;3.868030156
*;822;10.25385085;3.865592688
*;823;10.24960607;3.863155278
*;824;10.24536146;3.860717924
*;825;10.24111701;3.858280627
*;826;10.23687272;3.855843388
*;827;10.2326286;3.853406206
*;828;10.22838464;3.850969081
*;829;10.22414085;3.848532014
*;830;10.21989721;3.846095003
*;831;10.21565374;3.84365805
*;832;10.21141044;3.841221154
*;833;10.20716729;3.838784315
*;834;10.20292431;3.836347533
*;835;10.1986815;3.833910809
*;836;10.19443884;3.831474142
*;837;10.19019636;3.829037531
*;838;10.18595403;3.826600978
*;839;10.18171187;3.824164483
*;840;10.17746987;3.821728044
*;841;10.17322803;3.819291663
*;842;10.16898636;3.816855338
*;843;10.16474485;3.814419071
*;844;10.1605035;3.811982861
*;845;10.15626232;3.809546709
*;846;10.1520213;3.807110613
*;847;10.14778044;3.804674575
*;848;10.14353975;3.802238593
*;849;10.13929922;3.799802669
*;850;10.13505885;3.797366802
*;851;10.13081865;3.794930993
*;852;10.12657861;3.79249524
*;853;10.12233873;3.790059544
*;854;10.11809902;3.787623906
*;855;10.11385947;3.785188325
*;856;10.10962008;3.782752801
*;857;10.10538086;3.780317334
*;858;10.1011418;3.777881925
*;859;10.0969029;3.775446572
*;860;10.09266416;3.773011277
*;861;10.08842559;3.770576039
*;862;10.08418719;3.768140858
*;863;10.07994894;3.765705734
*;864;10.07571086;3.763270667
*;865;10.07147294;3.760835657
